cab_id,driver_id,license_plate_no,car_type,car_model_name,car_color
cab01,EMP001,1434-ID-1,uberX,Acura,Green
cab02,EMP002,6216-PH-2,uberXL,Allis Chalmers,Puce
cab03,EMP003,3108-ID-3,uberSUV,Alpha Romeo,Turquoise
cab04,EMP004,7546-ID-4,uberBlack,AMC,Crimson
cab05,EMP005,7045-MX-5,uberSelect,Audi,Green
cab06,EMP006,4725-PH-6,uberLUX,BMW,Teal
cab07,EMP007,4349-TH-7,uberX,Briggs & Stratton,Khaki
cab08,EMP008,3505-PH-8,uberXL,Buick,Purple
cab09,EMP009,2440-AM-9,uberSUV,Cadillac,Aquamarine
cab10,EMP010,7182-BA-10,uberBlack,Caterpillar,Red
cab11,EMP011,5338-ID-11,uberSelect,Chevrolet,Red
cab12,EMP012,2565-PH-12,uberLUX,Chrysler,Purple
cab13,EMP013,3078-CN-13,uberX,Continental,Khaki
cab14,EMP014,1707-TZ-14,uberXL,Cummins,Fuscia
cab15,EMP015,3828-CO-15,uberSUV,Detroit Diesel,Violet
cab16,EMP016,1779-CZ-16,uberBlack,Deutz,Violet
cab17,EMP017,1721-PA-17,uberSelect,Deutz(Heavy Duty Trucks),Khaki
cab18,EMP018,2613-CN-18,uberLUX,Dodge,Pink
cab19,EMP019,4908-ML-19,uberX,Fiat,Khaki
cab20,EMP020,2308-CA-20,uberXL,Ford,Maroon
cab21,EMP021,2393-TJ-21,uberSUV,Ford(Heavy Duty Trucks),Indigo
cab22,EMP022,5206-RU-22,uberBlack,Geo,Pink
cab23,EMP023,1371-CN-23,uberSelect,GMC,Puce
cab24,EMP024,8267-NI-24,uberLUX,Henshel,Goldenrod
cab25,EMP025,1701-UA-25,uberX,Hercules,Blue
cab26,EMP026,7368-ID-26,uberXL,Hino,Crimson
cab27,EMP027,1753-PG-27,uberSUV,Honda,Indigo
cab28,EMP028,5436-RU-28,uberBlack,Hunmer,Maroon
cab29,EMP029,4025-ID-29,uberSelect,Honda-Industrial,Khaki
cab30,EMP030,3868-CN-30,uberLUX,Hyundai,Crimson
cab31,EMP031,4387-RU-31,uberX,Infinity,Fuscia
cab32,EMP032,2569-CZ-32,uberXL,International,Aquamarine
cab33,EMP033,6753-MK-33,uberSUV,Isuzu,Red
cab34,EMP034,2185-CN-34,uberBlack,Isuzu(Heavy Duty Trucks),Crimson
cab35,EMP035,3073-IR-35,uberSelect,Iveco-Fiat,Yellow
cab36,EMP036,1655-CN-36,uberLUX,Jaguar,Mauv
cab37,EMP037,8347-CZ-37,uberX,Jeep,Indigo
cab38,EMP038,1411-CO-38,uberXL,John Deere,Orange
cab39,EMP039,8469-CN-39,uberSUV,Kia,Khaki
cab40,EMP040,5340-CL-40,uberBlack,Kohler,Fuscia
cab41,EMP041,7539-PL-41,uberSelect,Komatsu,Maroon
cab42,EMP042,6897-ID-42,uberLUX,Kubota,Mauv
cab43,EMP043,4837-AR-43,uberX,Land Rover,Yellow
cab44,EMP044,6006-EG-44,uberXL,Lexus,Teal
cab45,EMP045,7606-UA-45,uberSUV,Lincoln,Purple
cab46,EMP046,6381-ID-46,uberBlack,Lister Petter,Indigo
cab47,EMP047,3406-ID-47,uberSelect,Mack,Turquoise
cab48,EMP048,2444-CN-48,uberLUX,Mazda,Aquamarine
cab49,EMP049,9924-PS-49,uberX,Mercedes,Pink
cab50,EMP050,3068-BG-50,uberXL,Mercedes(Heavy Duty Trucks),Pink
cab51,EMP051,6663-MX-51,uberSUV,Mercury,Aquamarine
cab52,EMP052,2142-GR-52,uberBlack,Mini Cooper,Red
cab53,EMP053,9620-CN-53,uberSelect,Mitsubishi,Aquamarine
cab54,EMP054,8691-RU-54,uberLUX,Mitsubishi Fuso,Red
cab55,EMP055,9357-US-55,uberX,Nissan,Teal
cab56,EMP056,6701-CN-56,uberXL,Oldsmobile,Teal
cab57,EMP057,4411-VN-57,uberSUV,Onan,Maroon
cab58,EMP058,8299-NO-58,uberBlack,Perkins,Purple
cab59,EMP059,9552-CD-59,uberSelect,Peugeot,Violet
cab60,EMP060,8894-PL-60,uberLUX,Plymouth,Pink
cab61,EMP061,9041-ID-61,uberX,Pontiac,Orange
cab62,EMP062,9529-PL-62,uberXL,Porsche,Crimson
cab63,EMP063,4122-BR-63,uberSUV,Renault,Yellow
cab64,EMP064,7097-CO-64,uberBlack,Saab,Aquamarine
cab65,EMP065,6146-GR-65,uberSelect,Saturn,Violet
cab66,EMP066,8777-PH-66,uberLUX,Scania,Puce
cab67,EMP067,2847-CI-67,uberX,Scion,Turquoise
cab68,EMP068,7140-LS-68,uberXL,Subaru,Red
cab69,EMP069,5144-SV-69,uberSUV,Suzuki,Green
cab70,EMP070,7106-PL-70,uberBlack,Toyota,Yellow
cab71,EMP071,5848-UA-71,uberSelect,UD-Nissan,Blue
cab72,EMP072,1198-PE-72,uberLUX,Volvo,Puce
cab73,EMP073,2982-MZ-73,uberX,Volvo Penta,Fuscia
cab74,EMP074,8015-BO-74,uberXL,Volvo Truck,Mauv
cab75,EMP075,9980-AR-75,uberSUV,VW,Blue
cab76,EMP076,6451-FR-76,uberBlack,Wisconsin,Pink
cab77,EMP077,1160-RU-77,uberSelect,Wisconsin-Robin,Violet
cab78,EMP078,6180-CN-78,uberLUX,Yanmer-Industrial,Khaki
cab79,EMP079,7125-MX-79,uberX,Yanmer-marine,Purple
cab80,EMP080,7486-BF-80,uberXL,Acura,Goldenrod
cab81,EMP081,8325-RU-81,uberSUV,Allis Chalmers,Green
cab82,EMP082,1015-ID-82,uberBlack,Alpha Romeo,Goldenrod
cab83,EMP083,8585-PT-83,uberSelect,AMC,Puce
cab84,EMP084,6340-DO-84,uberLUX,Audi,Puce
cab85,EMP085,3384-UG-85,uberX,BMW,Teal
cab86,EMP086,2161-CN-86,uberXL,Briggs & Stratton,Violet
cab87,EMP087,5115-PL-87,uberSUV,Buick,Goldenrod
cab88,EMP088,8473-PE-88,uberBlack,Cadillac,Crimson
cab89,EMP089,5408-ID-89,uberSelect,Caterpillar,Turquoise
cab90,EMP090,3785-CN-90,uberLUX,Chevrolet,Maroon
cab91,EMP091,4183-BR-91,uberX,Chrysler,Orange
cab92,EMP092,6448-CN-92,uberXL,Continental,Red
cab93,EMP093,5926-GR-93,uberSUV,Cummins,Indigo
cab94,EMP094,5768-CN-94,uberBlack,Detroit Diesel,Fuscia
cab95,EMP095,4802-GR-95,uberSelect,Deutz,Pink
cab96,EMP096,3475-ID-96,uberLUX,Deutz(Heavy Duty Trucks),Puce
cab97,EMP097,2593-CM-97,uberX,Dodge,Orange
cab98,EMP098,7579-CN-98,uberXL,Fiat,Green
cab99,EMP099,5835-NG-99,uberSUV,Ford,Puce
cab100,EMP100,9952-MY-100,uberBlack,Ford(Heavy Duty Trucks),Mauv
cab101,EMP101,6688-CN-101,uberSelect,Geo,Green
cab102,EMP102,9649-UA-102,uberLUX,GMC,Indigo
cab103,EMP103,4927-ID-103,uberX,Henshel,Pink
cab104,EMP104,6521-ID-104,uberXL,Hercules,Mauv
cab105,EMP105,7930-RU-105,uberSUV,Hino,Green
cab106,EMP106,7509-PT-106,uberBlack,Honda,Purple
cab107,EMP107,7011-CZ-107,uberSelect,Hunmer,Indigo
cab108,EMP108,1988-RS-108,uberLUX,Honda-Industrial,Orange
cab109,EMP109,6749-NL-109,uberX,Hyundai,Puce
cab110,EMP110,5760-ID-110,uberXL,Infinity,Goldenrod
cab111,EMP111,5129-ID-111,uberSUV,International,Purple
cab112,EMP112,5512-TR-112,uberBlack,Isuzu,Mauv
cab113,EMP113,4164-CN-113,uberSelect,Isuzu(Heavy Duty Trucks),Puce
cab114,EMP114,5207-SE-114,uberLUX,Iveco-Fiat,Turquoise
cab115,EMP115,1615-CN-115,uberX,Jaguar,Orange
cab116,EMP116,1533-RU-116,uberXL,Jeep,Red
cab117,EMP117,8847-PE-117,uberSUV,John Deere,Turquoise
cab118,EMP118,5604-ZA-118,uberBlack,Kia,Indigo
cab119,EMP119,7676-TH-119,uberSelect,Kohler,Khaki
cab120,EMP120,8525-PS-120,uberLUX,Komatsu,Violet
cab121,EMP121,5865-MA-121,uberX,Kubota,Maroon
cab122,EMP122,1061-PE-122,uberXL,Land Rover,Green
cab123,EMP123,1293-CN-123,uberSUV,Lexus,Indigo
cab124,EMP124,8578-PH-124,uberBlack,Lincoln,Turquoise
cab125,EMP125,3719-US-125,uberSelect,Lister Petter,Pink
cab126,EMP126,4235-CN-126,uberLUX,Mack,Maroon
cab127,EMP127,2852-UA-127,uberX,Mazda,Mauv
cab128,EMP128,7330-RU-128,uberXL,Mercedes,Aquamarine
cab129,EMP129,7781-BR-129,uberSUV,Mercedes(Heavy Duty Trucks),Red
cab130,EMP130,8922-ID-130,uberBlack,Mercury,Violet
cab131,EMP131,8247-ID-131,uberSelect,Mini Cooper,Maroon
cab132,EMP132,8843-CN-132,uberLUX,Mitsubishi,Goldenrod
cab133,EMP133,8989-MA-133,uberX,Mitsubishi Fuso,Crimson
cab134,EMP134,1973-PH-134,uberXL,Nissan,Mauv
cab135,EMP135,6524-UA-135,uberSUV,Oldsmobile,Aquamarine
cab136,EMP136,3379-CN-136,uberBlack,Onan,Crimson
cab137,EMP137,3639-LT-137,uberSelect,Perkins,Blue
cab138,EMP138,6925-BO-138,uberLUX,Peugeot,Green
cab139,EMP139,8530-PA-139,uberX,Plymouth,Orange
cab140,EMP140,7083-SE-140,uberXL,Pontiac,Blue
cab141,EMP141,1660-ID-141,uberSUV,Porsche,Pink
cab142,EMP142,3154-EC-142,uberBlack,Renault,Red
cab143,EMP143,2484-MA-143,uberSelect,Saab,Maroon
cab144,EMP144,6302-CN-144,uberLUX,Saturn,Khaki
cab145,EMP145,2796-FR-145,uberX,Scania,Red
cab146,EMP146,8658-BR-146,uberXL,Scion,Orange
cab147,EMP147,3508-PL-147,uberSUV,Subaru,Puce
cab148,EMP148,4314-CN-148,uberBlack,Suzuki,Purple
cab149,EMP149,1953-CN-149,uberSelect,Toyota,Blue
cab150,EMP150,4984-EE-150,uberLUX,UD-Nissan,Yellow
cab151,EMP151,2226-LY-151,uberX,Volvo,Aquamarine
cab152,EMP152,4184-IR-152,uberXL,Volvo Penta,Green
cab153,EMP153,1967-IE-153,uberSUV,Volvo Truck,Puce
cab154,EMP154,4396-FR-154,uberBlack,VW,Puce
cab155,EMP155,1999-ZA-155,uberSelect,Wisconsin,Red
cab156,EMP156,1051-JP-156,uberLUX,Wisconsin-Robin,Aquamarine
cab157,EMP157,3529-FR-157,uberX,Yanmer-Industrial,Turquoise
cab158,EMP158,1028-CN-158,uberXL,Yanmer-marine,Pink
cab159,EMP159,6674-CD-159,uberSUV,Acura,Indigo
cab160,EMP160,9158-CN-160,uberBlack,Allis Chalmers,Teal
cab161,EMP161,8559-ID-161,uberSelect,Alpha Romeo,Mauv
cab162,EMP162,1767-JP-162,uberLUX,AMC,Yellow
cab163,EMP163,5414-CN-163,uberX,Audi,Purple
cab164,EMP164,7138-RU-164,uberXL,BMW,Teal
cab165,EMP165,8987-DO-165,uberSUV,Briggs & Stratton,Khaki
cab166,EMP166,7073-RU-166,uberBlack,Buick,Blue
cab167,EMP167,8497-CN-167,uberSelect,Cadillac,Puce
cab168,EMP168,3621-GT-168,uberLUX,Caterpillar,Puce
cab169,EMP169,2688-DO-169,uberX,Chevrolet,Violet
cab170,EMP170,6904-UA-170,uberXL,Chrysler,Aquamarine
cab171,EMP171,7320-US-171,uberSUV,Continental,Khaki
cab172,EMP172,2755-AZ-172,uberBlack,Cummins,Maroon
cab173,EMP173,9488-MG-173,uberSelect,Detroit Diesel,Mauv
cab174,EMP174,3079-ID-174,uberLUX,Deutz,Maroon
cab175,EMP175,9571-AL-175,uberX,Deutz(Heavy Duty Trucks),Purple
cab176,EMP176,5887-JP-176,uberXL,Dodge,Red
cab177,EMP177,2424-SI-177,uberSUV,Fiat,Violet
cab178,EMP178,4293-IE-178,uberBlack,Ford,Blue
cab179,EMP179,7851-ME-179,uberSelect,Ford(Heavy Duty Trucks),Blue
cab180,EMP180,8664-PS-180,uberLUX,Geo,Khaki
cab181,EMP181,7597-SE-181,uberX,GMC,Maroon
cab182,EMP182,4869-ID-182,uberXL,Henshel,Teal
cab183,EMP183,5566-CN-183,uberSUV,Hercules,Pink
cab184,EMP184,5055-CN-184,uberBlack,Hino,Orange
cab185,EMP185,9335-PK-185,uberSelect,Honda,Violet
cab186,EMP186,5806-ID-186,uberLUX,Hunmer,Turquoise
cab187,EMP187,3531-CN-187,uberX,Honda-Industrial,Crimson
cab188,EMP188,4687-CZ-188,uberXL,Hyundai,Goldenrod
cab189,EMP189,7965-CN-189,uberSUV,Infinity,Maroon
cab190,EMP190,7253-ID-190,uberBlack,International,Pink
cab191,EMP191,9237-PS-191,uberSelect,Isuzu,Turquoise
cab192,EMP192,6098-CN-192,uberLUX,Isuzu(Heavy Duty Trucks),Red
cab193,EMP193,5716-PT-193,uberX,Iveco-Fiat,Fuscia
cab194,EMP194,4632-ID-194,uberXL,Jaguar,Mauv
cab195,EMP195,6153-MA-195,uberSUV,Jeep,Yellow
cab196,EMP196,7294-JP-196,uberBlack,John Deere,Green
cab197,EMP197,6504-AR-197,uberSelect,Kia,Maroon
cab198,EMP198,3447-CN-198,uberLUX,Kohler,Pink
cab199,EMP199,7945-ID-199,uberX,Komatsu,Turquoise
cab200,EMP200,6605-IE-200,uberXL,Kubota,Purple